"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.11f1b1d943d71588.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.1e7a4e87f51341b7.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.527f319d3efb082f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.7adc1fe3bb0d6d03.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.c643151e7266789f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.f458d298210365e3.hot-update.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 32, 25, 92
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.f9d4f18f6f969d33.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.1e7a4e87f51341b7.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.24529a00ec2f742a.hot-update.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 41, 34, 122
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.527f319d3efb082f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.7adc1fe3bb0d6d03.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.c643151e7266789f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.f2bb6a6d75e88613.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.f9d4f18f6f969d33.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\upload\page.1e7a4e87f51341b7.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\upload\page.527f319d3efb082f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\upload\page.7adc1fe3bb0d6d03.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\upload\page.c643151e7266789f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\upload\page.f9d4f18f6f969d33.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\c643151e7266789f.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\e39194b7bda3de92.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\f2bb6a6d75e88613.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\f458d298210365e3.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\f9d4f18f6f969d33.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.0f584aead81d8e0b.hot-update.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 18
